customer_id,first_purchase_date,last_purchase_date,total_quantity,recency,frequency,monetary,life_time
1,2021-01-22,2021-01-22,2,346,1,16.29,346
2,2021-03-25,2021-06-20,2,197,2,22.77,284
3,2021-01-02,2021-01-02,4,366,1,10.92,366
4,2021-07-12,2021-11-10,5,54,2,33.29,175
5,2021-02-09,2021-07-06,14,181,5,78.82,328
6,2021-04-01,2021-04-01,3,277,1,25.55,277
7,2021-10-06,2021-10-06,1,89,1,17.84,89
8,2021-06-22,2021-06-22,2,195,1,9.78,195
9,2021-03-21,2021-03-21,1,288,1,15.75,288
10,2021-02-12,2021-02-12,1,325,1,110.31,325
11,2021-01-29,2021-01-29,1,339,1,6.35,339
12,2021-01-07,2021-01-07,1,361,1,21,361
13,2021-01-11,2021-02-11,3,326,2,53.24,357
14,2021-01-19,2021-03-19,11,290,4,308.43,349
15,2021-01-09,2021-01-09,1,359,1,3.82,359
16,2021-01-18,2021-04-19,2,259,2,62.160000000000004,350
17,2021-01-06,2021-01-11,4,357,2,31.84,362
18,2021-01-20,2021-01-20,1,348,1,1.9,348
19,2021-04-14,2021-04-14,3,264,1,99.94999999999999,264
20,2021-01-10,2021-03-05,4,304,4,28.25,358
21,2021-03-20,2021-03-20,1,289,1,9.35,289
22,2021-01-15,2021-01-15,1,353,1,6.75,353
23,2021-09-22,2021-09-22,1,103,1,1.84,103
24,2021-01-19,2021-02-12,4,325,2,57.17,349
25,2021-01-22,2021-02-25,3,312,2,7.98,346
26,2021-01-15,2021-04-03,13,275,4,100.87,353
27,2021-08-25,2021-08-25,2,131,1,14.629999999999999,131
28,2021-01-23,2021-01-23,2,345,1,28.69,345
29,2021-04-08,2021-04-08,1,270,1,13.83,270
30,2021-02-21,2021-04-18,9,260,2,86.26,316
31,2021-03-22,2021-03-22,2,287,1,7.16,287
32,2021-03-31,2021-04-24,3,254,2,5.3100000000000005,278
33,2021-02-08,2021-03-30,6,279,2,56.21,329
34,2021-03-23,2021-03-23,1,286,1,6.35,286
35,2021-01-25,2021-01-25,1,343,1,4.71,343
36,2021-04-14,2021-04-14,6,264,1,112.9,264
37,2021-02-01,2021-02-01,1,336,1,2.49,336
38,2021-07-02,2021-07-02,2,185,1,12.620000000000001,185
39,2021-01-08,2021-01-08,1,360,1,10.98,360
40,2021-02-04,2021-02-04,13,333,1,141.87,333
41,2021-01-12,2021-01-12,4,356,1,22.03,356
42,2021-06-04,2021-09-24,3,101,2,30.349999999999998,213
43,2021-02-19,2021-04-14,6,264,2,36.31,318
44,2021-01-14,2021-09-30,21,95,7,152.76,354
45,2021-06-07,2021-06-15,13,202,2,57.22,210
46,2021-02-24,2021-04-04,7,274,3,100.72,313
47,2021-01-21,2021-08-25,4,131,4,18.919999999999998,347
48,2021-02-11,2021-03-24,10,285,2,259.96000000000004,326
49,2021-03-17,2021-03-17,2,292,1,12.34,292
50,2021-01-07,2021-02-01,9,336,3,35.59,361
51,2021-01-11,2021-02-27,4,310,2,40.85,357
52,2021-01-27,2021-02-25,5,312,4,17.93,341
53,2021-04-01,2021-04-01,1,277,1,8.65,277
54,2021-01-07,2021-04-20,3,258,2,15.96,361
55,2021-01-12,2021-03-11,3,298,2,26.959999999999997,356
56,2021-01-25,2021-03-08,3,301,2,10.83,343
57,2021-02-03,2021-04-03,10,275,4,50.64,334
58,2021-02-04,2021-02-04,1,333,1,5.79,333
59,2021-03-08,2021-03-21,3,288,2,11.4,301
60,2021-01-04,2021-01-04,3,364,1,6.24,364
61,2021-02-27,2021-02-27,2,310,1,12.42,310
62,2021-03-27,2021-03-27,2,282,1,12.610000000000001,282
63,2021-01-30,2021-03-06,9,303,2,48.42,338
64,2021-02-27,2021-02-27,2,310,1,176.37,310
65,2021-01-12,2021-04-07,14,271,4,72.16,356
66,2021-03-12,2021-03-12,2,297,1,23.83,297
67,2021-06-17,2021-06-17,6,200,1,86.42,200
68,2021-03-08,2021-03-08,2,301,1,16.91,301
69,2021-01-21,2021-01-21,2,347,1,12.18,347
70,2021-01-13,2021-01-13,12,355,1,55.15,355
71,2021-04-20,2021-04-20,2,258,1,12.510000000000002,258
72,2021-02-17,2021-02-17,1,320,1,13.68,320
73,2021-02-18,2021-02-18,1,319,1,2.11,319
74,2021-01-15,2021-02-19,7,318,2,55.31,353
75,2021-01-19,2021-01-19,9,349,1,66.85,349
76,2021-03-22,2021-03-22,2,287,1,16.37,287
77,2021-08-02,2021-08-02,4,154,1,25.12,154
78,2021-01-08,2021-01-08,3,360,1,85.91,360
79,2021-02-05,2021-02-05,3,332,1,10.95,332
80,2021-01-15,2021-01-15,3,353,1,11.37,353
81,2021-02-24,2021-02-24,1,313,1,5.59,313
82,2021-07-15,2021-07-15,2,172,1,13.299999999999999,172
83,2021-01-04,2021-02-16,7,321,2,45.82,364
84,2021-03-25,2021-08-20,6,136,6,30.52,284
85,2021-04-15,2021-04-15,4,263,1,42.41,263
86,2021-01-16,2021-01-16,1,352,1,6.07,352
87,2021-07-24,2021-07-24,2,163,1,14.65,163
88,2021-01-19,2021-01-19,2,349,1,15.8,349
89,2021-03-24,2021-03-24,2,285,1,15.27,285
90,2021-03-15,2021-03-15,1,294,1,4.02,294
91,2021-01-21,2021-02-18,7,319,4,86.07000000000001,347
92,2021-03-13,2021-03-13,2,296,1,4.37,296
93,2021-01-20,2021-02-12,15,325,3,140.72,348
94,2021-01-04,2021-01-25,4,343,3,21.21,364
95,2021-01-29,2021-04-06,9,272,3,62.77,339
